Comment,Compound,Positive,Neutral,Negative
"there should be an airbnb but for jobs, like work 2 weeks there and then travel to the next",0.5023,0.16,0.84,0.0
As our Airbnb gets canceled ,0.0,0.0,1.0,0.0
"Florida homeowners are speaking out against @Airbnb and other big tech short-term rental companies. They know that if local governments lose the ability to regulate short-term rentals, their neighborhoods will run amok with illegal hotels: ",-0.6124,0.057,0.788,0.155
If your Airbnb for Coachella isn’t being refunded hit me!! I could possibly help and tryna help folks get they money back,0.717,0.24,0.76,0.0
might fuck around and make my place in chapel hill an airbnb,-0.5423,0.0,0.759,0.241
"We made an IG for our apartment because apparently that's what all the cool @airbnb listings do follow for local Chippendale tips and photos, or just to laugh at us, whatever floats your boat (ps. looking for a place to stay in Sydney for a weekend?) https://www.instagram.com/cozyconvertedwarehouse/",0.7096,0.121,0.879,0.0
This is one more reason short term rentals like Airbnb need to be regulated. ,0.3612,0.161,0.839,0.0
I am really grateful to the Airbnb hosts in Hawaii who just issued me a refund (nice people)-- I cannot travel there due to the pandemic. Now I just hope @AirbnbHelp will do the same with their fees.,0.7346,0.162,0.838,0.0
covid-19 is going to divert all revenue from airbnb to onlyfans,0.0,0.0,1.0,0.0
Why can't some smart and nimble Silicon Valley entrepreneurs develop a @Uber or @Airbnb like service to locate spare CLIA compliant RNA extraction kits in research labs for #COVID19 testing?,0.0624,0.079,0.85,0.071
Just booked my Airbnb it’s flyyyy.,0.0,0.0,1.0,0.0
"TIL some Airbnb hosts are straight up liars. Here’s looking at you, @bsumwalt, and the review you left me to cover your own a$$. Oh, and here’s the entirety of our conversation: https://imgur.com/a/QClXTNh #Receipts",-0.3612,0.051,0.858,0.091
"My friend @tuftedpuffin sent a picture from #airbnb she stayed at, a couch that has a stain reminiscent of the one on a couch in my room during my tour. What does it look like to you? Spontaneous Human Combustion? Marvin the Martian vaporized someone? Consequences of epic fart? ",0.7691,0.134,0.866,0.0
an airbnb with 15+ jacob stans... we gon die ,-0.5994,0.0,0.672,0.328
tickets: bought airbnb: booked my tummy: got butterflies,0.0,0.0,1.0,0.0
*school closes* *searches for new Airbnb's to extend spring break trip*,0.1779,0.145,0.855,0.0
"Terrible @Airbnb cancellation policy for #COVID19 #coronavirus. If you're not traveling to or from China, South Korea, or Italy, and you're not quarantined or a medical professional, they won't let you cancel your trip. Health &amp; tech journalists, want to get on this?",-0.264,0.067,0.864,0.069
Most hotel corporations have lived through many a recession. Airbnb owners not so much. Was probably better to leave the hotel business to people who knew what they were doing.,-0.0258,0.088,0.79,0.122
me: listening to everyone damn near cry ab their coachella airbnb’s also me: *laughs in local *,-0.7003,0.0,0.707,0.293
"if anyone from Coachella weekend 1 doesn’t need their airbnb anymore, I’ll take it. that’s where I’ll be spending my bday weekend. Palm Springs/Indio area.",0.0,0.0,1.0,0.0
"Silver lining. I live in a condo. My mortgage and fees pay for the elevators, hallways, gym, lounge that “guests” abuse. Not to mention the parties and noise. Yeah, Airbnb, I’d like to know how you’re guaranteeing cleanliness.",0.2023,0.168,0.705,0.127
"Airbnb is coming under fire for refusing scores of refunds amid the coronavirus outbreak. Some guests, like Josh Ostroff (who was afraid to take his son to Japan), received a full refund from hotels and airlines -- but not Airbnb https://www.bloomberg.com/news/articles/2020-03-11/airbnb-refuses-guests-refunds-amid-virus-cancellation-frenzy via @business",-0.2023,0.04,0.88,0.08
Airbnb guests fume as the company refuses to offer refunds amid the flurry of coronavirus cancellations https://trib.al/lW3vAyr,-0.296,0.0,0.879,0.121
"coachella postponed, $970+ down the drain in “non-refundable” fees for my reservation, this is wack as fuck @Airbnb pic.twitter.com/d6iN3jIGbg",-0.6486,0.0,0.762,0.238
I think few things capture the true stupidity in Toronto's real estate market like hearing about an investor who quit their job to manage 4 Airbnb units. ,0.34,0.175,0.728,0.096
"""Mao, who hosts 2,000 guests a month in his network of @Airbnb mansions, has slashed prices on the properties by 10 percent and plans to keep cutting as visitors dwindle."" This isn't home sharing @AirbnbCitizen. It's a hotel. #HotAirbnb #NoSympathy",-0.5764,0.0,0.859,0.141
"no classes until april 6th, $64 round trip flight to puerto rico, no confirmed cases of covid-19, and airbnb has wifi? ",-0.5267,0.0,0.812,0.188
Airbnb calculating your total at checkout ,0.0,0.0,1.0,0.0
"What a first day here... My friend’s passport was expiring soon so they didn’t let him on the flight... My Airbnb host goes MIA after telling me he’ll be here in 5 minutes... Got a full refund, complimentary hotel night, and my dinner tab covered though!",-0.0836,0.062,0.87,0.068
#Airbnb expects their employees to work from home during this pandemic but you're expected to go on your vacation like nothing is wrong and you can't get your money back. This is wrong.,0.8724,0.248,0.752,0.0
Had to cancel an Airbnb reservation; the host replied “the media is Controlling us” ,-0.25,0.0,0.867,0.133
"You could lay out every single detail, post the flight and Airbnb information and answer every question before people even get a chance to ask it, then here somebody goes talmbout “What dates are the trip?” ",0.25,0.056,0.944,0.0
I bet the neighbours of these 4 units hate her. Airbnb takes no responsibility when bad shit happens in neighbourhoods.,-0.9186,0.0,0.519,0.481
"Sadly, in light of the current situation, we have been forced to postpone our @ParisPopfest Paris date with @jeanines_nyc Jeanines. Very gutted. Thanks to @Fly_Norwegian and @Airbnb for being so understanding and not even giving us a voucher. We’ll remember this for next time. ",-0.6765,0.062,0.746,0.191
Just booked the Airbnb for my birthday party/producer cook up session. I got a couple more slots available,0.0,0.0,1.0,0.0
"“Socialism is not Airbnb or crashing on your friend’s couch. Socialism is Venezuela,” U.S. National Security Advisor Bob O’Brien speaking @Heritage on what he likes to explain to millennials.",0.6369,0.161,0.839,0.0
"Brian Chesky, the 37-year-old CEO of @Airbnb is worth an estimated $4.2 billion. He also benefited from $1.5T in tax cuts. His company however will not reimburse or credit my friend’s canceled booking due to the coronavirus. Here’s what a welfare queen looks like: https://twitter.com/terp1999/status/1237380533786738688",0.0041,0.09,0.82,0.09
@Airbnb @AirbnbHelp Please help me understand why I can’t get a full refund for a service that will not be provided? I had to cancel a family trip to spain due to COVID. I will remember this the next time I need an accommodation and my network will be hearing about this.,0.4588,0.102,0.857,0.041
describe @crssdfest in one word: spiraling We Got Kicked Out of Our Airbnb... CRSSD Spring 2020 Day 1 Vlog LINK: https://youtu.be/K49SbpLgzQE,0.0,0.0,1.0,0.0
"Hi, @Airbnb: I had to cancel a trip because of COVID-19 but it looks like I do not qualify for a refund because it is a trip within the USA. Any chance you'll cover cases like mine, in this serious health crisis? Thanks.",0.6295,0.244,0.59,0.166
"Here are some of the tech companies offering support and free services: @Microsoft, @SAPAriba, @Google, @zoho, @TripIt, @Airbnb, @amazon, @Facebook, @gatesfoundation. Know of others who should be on the list? Let us know! #COVID19",0.7424,0.164,0.836,0.0
New from me: Airbnb may be particularly vulnerable to the economic and health policy shocks of the novel coronavirus outbreak https://www.theglobeandmail.com/real-estate/article-short-term-rentals-pinched-by-coronavirus-fears/,-0.3597,0.092,0.717,0.191
What the heck is the “Peto” button in the elevator of our Airbnb in #Osaka! My wife and I have no idea! Ideas? @CraigHoffman11 @clpearce @BeingKansai @BeingKansai @BuckedbytheStar @kobeses @KansaiPhotos @DaveInOsaka @Bob_OGTB @Tokyonobo @JapaninCanada @Japan_Australia @Higgins82,-0.4184,0.0,0.924,0.076
"sanha: what does airbnb mean? eunwoo: well, a b&amp;b is a bed and breakfast- mj: bungeons and bragons!",0.3382,0.138,0.862,0.0
Extreme makeover: Ship edition. Can a $500 million renovation turn this historic ocean liner into a hotel or Airbnb you would stay at? ,0.0,0.0,1.0,0.0
"JAP! Before I start, if you're a first time AirBnb user, please use this link to get RM120 credit for your first stay The credit expires in 30 days after signing up, so dont sign up first if you're not gonna book a stay yet Link for RM120 credit: ",0.8553,0.198,0.802,0.0
Media request: Any Irish #Airbnb hosts experiencing cancellations/decline in bookings due to #COVID19? Please RT,0.3182,0.141,0.859,0.0
"Dear @Airbnb, some clarification on your COVID-19 possibly would be helpful. My county in NJ is the first to declare an emergency because of the virus. I felt canceling my upcoming trip to Philly was the only right thing to do, but it seems I'm now out quite a bit of money?",0.2263,0.07,0.895,0.034
"Travel Industry (Airlines, cruises, AirBNB, Hotels, Uber): We *WILL* remember how you act at this time. You've made a lot of money, hopefully you've planned for a rainy day. Treat people with respect. You are being watched.",0.802,0.208,0.76,0.032
"Coachella is postponed. Here's the latest on ticket, airline and Airbnb refunds ",-0.2023,0.0,0.859,0.141
airbnb launches $1 million fund to finance world's most unique homes https://www.designboom.com/architecture/airbnb-1-million-fund-unique-homes-03-11-2020/ pic.twitter.com/lrxYRgZKxF,0.0,0.0,1.0,0.0
"With travel screeching to a halt in many places to limit the coronavirus outbreak’s spread, the problems facing Airbnb and other online travel sites, such as http://Booking.com and VRBO, have rapidly escalated",-0.4019,0.0,0.917,0.083
She’s already at the Airbnb ,0.0,0.0,1.0,0.0
This Chic Airbnb Is Basically a Spaceship — and the Surrounding Views of the Scottish Highlands Are Out of This World (Video) http://bit.ly/2vZ7k93,0.2732,0.095,0.905,0.0
"This historic ocean liner may get a second life as a hotel, or an Airbnb, after a $500 million renovation ",0.0,0.0,1.0,0.0
Coachella-Goers Scrambling for Airbnb Refunds After Coronavirus Postponement ,0.0,0.0,1.0,0.0
"'David Sapiecha, prosecuting for the fire service, said officers found no proper escape routes, leading to the danger that anyone trying to escape would ""get lost in dead ends and panic"".' #Airbnb #Devon #Torquay",-0.9042,0.076,0.6,0.324
Found a man name Michael on airbnb who is a UH alumni. And my man took care of me thank you Houston lol,0.8176,0.321,0.679,0.0
Airbnb is making adjustments to its refund policy in an attempt to balance the needs of hosts and guests during the global coronavirus outbreak ,0.0,0.0,1.0,0.0
"In England, an Airbnb landlord ""flagrantly put at risk people's safety with his desire to make money"", a Crown Court Judge said #airbnb #illegalhotels #torquay #healthandsafety #universalhotelact https://lnkd.in/eTaP23r",0.5267,0.174,0.759,0.066
How to find hidden cameras in your Airbnb rental ,0.0,0.0,1.0,0.0
"""The most famous ship that didn't sink"" to get second life as a hotel, or an Airbnb ",0.0,0.0,1.0,0.0
Can a $500 million renovation turn this historic ocean liner into a hotel or Airbnb you would stay at? ,0.0,0.0,1.0,0.0
"Outraged that @Airbnb won't give full refunds for those who booked homes ($7000+) for @coachella weekend! The County of Riverside/Health Officials said it's not safe, airlines are giving full refunds, but @Airbnb would rather benefit off the crisis and their customers safety??! ",-0.7047,0.107,0.695,0.198
yooo airbnb must be flailing rn with corona or are yall still staying in people's houses?!,0.0,0.0,1.0,0.0
"Forget about staying in your dream home, now you can build the place of your dreams with Airbnb's ""Unique Airbnb Fund!"" pic.twitter.com/CJYLNP2lr0",0.4753,0.193,0.734,0.073
Quietly saying a prayer for all those people with non-refundable hotel and/or AirBnB deposits. The humanity to greed ratio is about to get tested. ,-0.4019,0.0,0.891,0.109
I JUST OFFICIALLY BOOKED OUR AIRBNB FOR NASHVILLE!!!!!!!,0.0,0.0,1.0,0.0
"I have used @Airbnb in the past, but I can’t say I’ll utilize their services again. Due to #SXSWCancelled, myself and @RifewithKatie had no recourse but to cancel our trip and the host Stuart has declined a full refund. This is disappointing and I recommend avoiding his listing.",-0.8573,0.059,0.71,0.231
"Well, my @Airbnb host declined my refund request, and all I got back from @AirbnbHelp is vague promises they're ""looking into it."" Here's the listing; I recommend avoiding it when you're looking to book for Fantastic Fest:",0.7906,0.248,0.665,0.087
Nah Airbnb sex takes the cake and eats it too ,-0.1027,0.0,0.865,0.135
Found an Airbnb in Nicaragua for $10 a night don’t know anything about Nicaragua but I will be there,0.0,0.0,1.0,0.0
The fun of using Airbnb. #cochella mess. #coronavirus nightmare. #music,0.2023,0.239,0.58,0.181
"Armed with video of nightmare Airbnb party house, Lincoln Park alderman aims to bolster city regulations. ",0.4019,0.153,0.847,0.0
Coachella ticket and airbnb refund is about to be tax return 2.0,0.0,0.0,1.0,0.0
I just blew hella money on an Airbnb for my son's birthday bc I want nothing but the best for my baby so excited for our weekend away!,-0.133,0.169,0.693,0.137
Do you have to pay a special premium to get the ‘Break up’ Airbnb? #TheBachelor,0.3182,0.168,0.745,0.087
"My favorite thing is reading bad reviews and seeing the seller toss shade right back “The AirBnB was smaller in person.” “Well you left a mess, so.”",-0.4588,0.094,0.719,0.188
Looking up AirBnb’s makes me realize I can live like a QUEEN for a third of the cost that I do in America.,0.3612,0.122,0.878,0.0
"Start-up idea: parents in quarantine get to swop houses for a day w/a family that has kids the same age. BYO hand sanitizer & bleach. Nothing more exciting than playing w/other kids' toys. Esp after days/weeks in seclusion. [Chipper pitch voice] Like Airbnb, but for a pandemic!",0.412,0.119,0.84,0.04
honestly fuck @Airbnb hosts for being able to take advantage of guests like this pic.twitter.com/BSlQ49egvI,0.4588,0.341,0.5,0.159
Katie bought us tickets and an Airbnb in NOLA for my upcoming 25th birthday god she’s the best girlfriend ever,0.743,0.259,0.741,0.0
Airbnb advertises ‘coronavirus-free’ homes 'stocked with toilet paper' ,0.0,0.0,1.0,0.0
just realized i’m ~1000 miles from philly rn so if anyone would like to walk 500 miles and walk 500 more just to be the man who walks 1000 miles to fall down at my door i’ll give you the address of my airbnb,0.3612,0.055,0.945,0.0
Tried to cancel an upcoming trip over the last 48h. Terrible customer service experience and in the end the decision was pushed to the host with airbnb taking no responsibility. Great to make bold claims on twitter and your website...but you need to FOLLOW UP with actions!,0.1759,0.119,0.746,0.135
my airbnb lady was so cool and just moved our dates for us lol love our queen kimberly,0.8747,0.4,0.6,0.0
"Dear @coachella, please advocate and work with @Airbnb to give us back our full refunds if they cannot guarantee adjustment accomodations of our current reservations. They are currently denying California as not meeting their criteria for the exenuating circumstances of COVID-19.",0.1926,0.106,0.804,0.09
"This is a better solution than the students having to ask faculty piecemeal to help out. I am willing to help, but I want the university to come up with a solution. For no charge.",0.7096,0.304,0.623,0.073
Can @Airbnb just switch the dates of our stay for Coachella if we already paid pls @AirbnbHelp,0.0772,0.075,0.925,0.0
Building (and Re-Building) the Airbnb Design System ,0.0,0.0,1.0,0.0
"Id be hot if I booked airbnb, flight all dat lol ",0.4215,0.237,0.763,0.0
"UPDATE: after a lot of stressing over recent measures taken by governments and flight companies, Sha successfully embarked on her flight to Brazil!!! I settled in our Airbnb and did groceries!! Tomorrow I'm waking up at 3:30 AM to pick her up at the airport WISH US LUCK!!!!!!!!!",0.7431,0.146,0.807,0.047
just got hand soap sent to me via postmates because there was none in the bathroom at my airbnb in la. WASH YOUR HANDS!!!! ,0.6562,0.16,0.84,0.0
Wait is it airbnb or R&amp;B I’m confused,-0.3182,0.0,0.753,0.247
Talk to Airbnb instead. Host will never let you cancel,0.1877,0.162,0.838,0.0
Criticarle que se quejaba con airbnb porque no le querían reembolsar el alquiler que no iba a usar. Hay gente que se ve q es liberal con la suya nomás ,-0.5267,0.0,0.855,0.145
FIRST TIME FREE AIRBNB DISCOUNT COUPON CODE ! Here’s your chance for a free credit coupon and codes to travel for FREE. Click the link NOW. Please DM me if you have any issues. #airbnb #airbnbcode #airbnbdiscount #airbnbpromo #airbnbfree,0.9556,0.374,0.626,0.0
Looking for pretty places to Airbnb in sf/Santa Cruz/sac and surrounding areas. I need the perfect place.,0.7845,0.33,0.67,0.0
